,Player Full Name,Player First Name,Player Last Name,Player API ID,Teams
62,Dillon Brooks,Dillon,Brooks,1628415,"['Memphis Grizzlies', 'Houston Rockets']"
63,Bruce Brown,Bruce,Brown,1628971,"['Detroit Pistons', 'Brooklyn Nets', 'Denver Nuggets', 'Indiana Pacers']"
64,Jaylen Brown,Jaylen,Brown,1627759,['Boston Celtics']
65,Kendall Brown,Kendall,Brown,1631112,['Indiana Pacers']
66,Kobe Brown,Kobe,Brown,1641738,['Los Angeles Clippers']
67,Moses Brown,Moses,Brown,1629650,"['Portland Trail Blazers', 'Oklahoma City Thunder', 'Dallas Mavericks', 'Cleveland Cavaliers', 'Los Angeles Clippers', 'Brooklyn Nets', 'Portland Trail Blazers']"
68,Greg Brown III,Greg,Brown III,1630535,"['Portland Trail Blazers', 'Dallas Mavericks']"
69,Charlie Brown Jr.,Charlie,Brown Jr.,1629718,"['Atlanta Hawks', 'Oklahoma City Thunder', 'Dallas Mavericks', 'Philadelphia 76ers', 'New York Knicks']"
70,Troy Brown Jr.,Troy,Brown Jr.,1628972,"['Washington Wizards', 'Chicago Bulls', 'Los Angeles Lakers', 'Minnesota Timberwolves']"
71,Jalen Brunson,Jalen,Brunson,1628973,"['Dallas Mavericks', 'New York Knicks']"
72,Thomas Bryant,Thomas,Bryant,1628418,"['Los Angeles Lakers', 'Washington Wizards', 'Los Angeles Lakers', 'Denver Nuggets', 'Miami Heat']"
73,Kobe Bufkin,Kobe,Bufkin,1641723,['Atlanta Hawks']
74,Reggie Bullock Jr.,Reggie,Bullock Jr.,203493,"['Los Angeles Clippers', 'Phoenix Suns', 'Detroit Pistons', 'Los Angeles Lakers', 'New York Knicks', 'Dallas Mavericks', 'Houston Rockets']"
75,Alec Burks,Alec,Burks,202692,"['Utah Jazz', 'Cleveland Cavaliers', 'Sacramento Kings', 'Golden State Warriors', 'Philadelphia 76ers', 'New York Knicks', 'Detroit Pistons']"
76,Jared Butler,Jared,Butler,1630215,"['Utah Jazz', 'Oklahoma City Thunder', 'Washington Wizards']"
77,Jimmy Butler,Jimmy,Butler,202710,"['Chicago Bulls', 'Minnesota Timberwolves', 'Philadelphia 76ers', 'Miami Heat']"
78,John Butler Jr.,John,Butler Jr.,1631219,['Portland Trail Blazers']
79,Jamal Cain,Jamal,Cain,1631288,['Miami Heat']
80,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,203484,"['Detroit Pistons', 'Los Angeles Lakers', 'Washington Wizards', 'Denver Nuggets']"
81,Toumani Camara,Toumani,Camara,1641739,['Portland Trail Blazers']
82,Vlatko Cancar,Vlatko,Cancar,1628427,['Denver Nuggets']
83,Clint Capela,Clint,Capela,203991,"['Houston Rockets', 'Atlanta Hawks']"
84,Jevon Carter,Jevon,Carter,1628975,"['Memphis Grizzlies', 'Phoenix Suns', 'Brooklyn Nets', 'Milwaukee Bucks', 'Chicago Bulls']"
85,Wendell Carter Jr.,Wendell,Carter Jr.,1628976,"['Chicago Bulls', 'Orlando Magic']"
86,Alex Caruso,Alex,Caruso,1627936,"['Los Angeles Lakers', 'Chicago Bulls']"
87,Colin Castleton,Colin,Castleton,1630658,['Los Angeles Lakers']
88,Malcolm Cazalon,Malcolm,Cazalon,1630608,['Detroit Pistons']
89,Julian Champagnie,Julian,Champagnie,1630577,"['Philadelphia 76ers', 'San Antonio Spurs']"
90,Max Christie,Max,Christie,1631108,['Los Angeles Lakers']
91,Josh Christopher,Josh,Christopher,1630528,['Houston Rockets']
92,Sidy Cissoko,Sidy,Cissoko,1631321,['San Antonio Spurs']
94,Brandon Clarke,Brandon,Clarke,1629634,['Memphis Grizzlies']
